index,cell_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EPHA2,Fibroblasts,0.013138870335936437,0.03576063485229535,0.7250898783004889,0.660550017218383,0.5089009321835217,
ARHGEF19,Fibroblasts,0.00786153466619044,-0.009761638519250633,0.6146763634425714,0.6015526712608261,0.5474719412376976,
FBXO42,Fibroblasts,0.06607367713642041,-0.12185568289004621,0.38366987703207556,1.5063449410748877,0.13197864694095143,
SZRD1,Fibroblasts,0.2303871456389585,-0.6110320250650749,0.13069944561906283,-0.14580156567515157,0.8840780398836575,0.8997425001787203
NECAP2,Fibroblasts,0.21585688463597208,-0.5760848165796253,0.13372429547355513,0.13759749369617222,0.8905585364282335,0.9049810276959199
NBPF1,Fibroblasts,0.04535989978825534,-1.3720307888322079,0.504387919299843,0.9618886746425114,0.33610552813847394,
CROCC,Fibroblasts,0.08578482727945015,0.3509373748543125,0.3745850177874956,2.305538898352455,0.02113641083590417,0.05035915115242388
RP11-108M9.4,Fibroblasts,0.11434758075454171,-1.2566329124693996,0.2971994000824833,0.4586774276600131,0.64646582580062,0.6883160304082746
MFAP2,Fibroblasts,0.20279338461587634,-0.4625915074864844,0.20600519133311448,1.0714138946501053,0.28398336801516555,0.33642770251772824
ATP13A2,Fibroblasts,0.028294335152681906,-0.09791101834261771,0.5119064054869087,1.0608744387275257,0.28874696717868453,
SDHB,Fibroblasts,0.49019898256158545,-0.6350837454235063,0.07875334697851992,-5.527078568283838,3.256071679146744e-08,1.920465025923281e-07
RCC2,Fibroblasts,0.05165909361608929,-0.568691446682179,0.42005726068254307,1.4044479953376092,0.1601854873362366,
ARHGEF10L,Fibroblasts,0.06687135139873934,-0.312463401813665,0.4092341403464633,1.4451766941352557,0.14840826093847506,
IGSF21,Fibroblasts,0.003808736298869245,-0.0030996468455404365,0.6813850302169061,0.36242656683778396,0.7170332895636857,
IFFO2,Fibroblasts,0.012280024944723845,-0.05683157367242454,0.5484067343555525,0.7166024587146855,0.4736194269516303,
UBR4,Fibroblasts,0.12241204579624654,-1.3926250167170229,0.2530599280886401,-0.08602513154749243,0.9314464391907569,0.9401338958417655
RP1-43E13.2,Fibroblasts,0.023496925409488334,0.019462129599329317,0.5464544202335117,0.9851827387285305,0.32453431777432407,
EMC1,Fibroblasts,0.14905002660797262,0.042933406707636276,0.20927470830616016,2.8560163081591856,0.004289930987101767,0.013573268932495294
MRTO4,Fibroblasts,0.19731238064439988,-0.34801656044872986,0.1625030174244344,1.4652321806694382,0.14285758251450265,0.1915800231026924
AKR7A2,Fibroblasts,0.5179505670599072,-0.8558539751083969,0.07482143976523074,-8.84172302829499,9.425363678605191e-19,9.78848269654311e-18
PQLC2,Fibroblasts,0.06486089582028084,-0.2713175264888017,0.361125468683983,1.599902893742235,0.1096201272870036,
CAPZB,Fibroblasts,1.8982916713802538,-0.8464459600769215,0.041945158394672714,-20.224753011499466,5.928656875618491e-91,5.270152486933723e-89
MINOS1,Fibroblasts,2.3155209833125903,-0.8322465783830311,0.03920461824861019,-21.294830427000143,1.2676426035235904e-100,1.4127593015687537e-98
NBL1,Fibroblasts,2.9995123520131086,-1.4540810674623847,0.04941892457371748,-29.627207069137764,6.669888328029438e-193,6.225507018174476e-190
TMCO4,Fibroblasts,0.04914167520888156,-0.27516028374751034,0.4184234192178011,1.2920581521887682,0.19633700671158794,
OTUD3,Fibroblasts,0.026813616342063338,-0.011043994096586249,0.519287193040499,0.9184519677262171,0.35838229448864634,
PLA2G2A,Fibroblasts,38.55194228025993,-0.15668390751641678,0.09572425321151283,-1.7491501718900444,0.08026506458839001,0.12632093920982868
PLA2G5,Fibroblasts,0.06969134441321805,0.8713784033768637,0.5827987080592257,1.7756993525840805,0.07578248417219395,
CAMK2N1,Fibroblasts,0.2062435357151417,-0.7516819187215127,0.24013150343225628,-0.4715048830136583,0.6372802334624204,0.6798930566172158
MUL1,Fibroblasts,0.11516843923750197,-0.2220056279580332,0.23949096066554457,2.050333657396669,0.040331882309036914,0.07967147227554991
FAM43B,Fibroblasts,0.05412356763394709,-0.8894900138140778,0.4558705273563518,1.0155828414937667,0.3098280791286755,
CDA,Fibroblasts,0.1339703322756333,-2.3703022151030884,0.2692418589865859,-2.780704137410049,0.005424114552727037,0.01665372671266973
PINK1,Fibroblasts,0.44659414040281614,-1.0711950378626773,0.08553569285829897,-9.39004234583339,5.997613938440136e-21,6.816466252409817e-20
DDOST,Fibroblasts,0.7666034801890056,-0.020867345501272064,0.06927072471851088,0.5935076275053353,0.5528414798911789,0.602110170704118
KIF17,Fibroblasts,0.0005053925596906525,0.0081018630723247,1.3171345170282043,0.20136981228905051,0.8404094180172389,
HP1BP3,Fibroblasts,0.8455846504982245,-0.4305170882028474,0.07531736831676518,-4.9544450522405805,7.253701036151259e-07,3.835933826978856e-06
EIF4G3,Fibroblasts,0.14706344917460726,-0.9661416673695068,0.19679988365953147,0.27195576052055587,0.785656035659699,0.8137735633612113
ECE1,Fibroblasts,0.2362033714138885,-0.5304103910157426,0.17258616516189676,0.6762255106223406,0.4988974780714206,0.5513179736358704
NBPF3,Fibroblasts,0.006963903947142376,-0.016065192664617728,0.6124949025689357,0.4522156540771578,0.6511136319908057,
USP48,Fibroblasts,0.258470197208028,-0.35848362757018193,0.13238919650580017,1.0229272618266425,0.3063422386303679,0.3593805963633868
HSPG2,Fibroblasts,0.7119375263798331,-0.14535076486953044,0.10516928224544378,-0.3509911892724151,0.7255949583727492,0.7602101240591158
LINC00339,Fibroblasts,0.04278241703981331,0.07061547801264437,0.455980199878333,1.5181108538770722,0.12898645542189788,
CDC42,Fibroblasts,1.952444432747014,-0.3542245831665,0.06249822856988274,-5.857037796939812,4.711959173179591e-09,2.9666272467227658e-08
